,,,,,,
[1],{},=>,{Age=Adult},0.9504771,0.9504771,1
[2],{Class=2nd},=>,{Age=Adult},0.1185825,0.9157895,0.9635051
[3],{Class=1st},=>,{Age=Adult},0.1449341,0.9815385,1.0326798
[4],{Sex=Female},=>,{Age=Adult},0.193094,0.9042553,0.95137
[5],{Class=3rd},=>,{Age=Adult},0.2848705,0.888102,0.934375
[6],{Survived=Yes},=>,{Age=Adult},0.2971377,0.9198312,0.9677574
[7],{Class=Crew},=>,{Sex=Male},0.3916402,0.9740113,1.2384742
[8],{Class=Crew},=>,{Age=Adult},0.40209,1,1.0521033
[9],{Survived=No},=>,{Sex=Male},0.6197183,0.9154362,1.1639949
[10],{Survived=No},=>,{Age=Adult},0.6533394,0.9651007,1.0153856
[11],{Sex=Male},=>,{Age=Adult},0.757383,0.9630272,1.013204
[12],"{Sex=Female,Survived=Yes}",=>,{Age=Adult},0.1435711,0.9186047,0.9664669
[13],"{Class=3rd,Sex=Male}",=>,{Survived=No},0.191731,0.827451,1.222295
[14],"{Class=3rd,Survived=No}",=>,{Age=Adult},0.2162653,0.9015152,0.948487
[15],"{Class=3rd,Sex=Male}",=>,{Age=Adult},0.2099046,0.9058824,0.9530818
[16],"{Sex=Male,Survived=Yes}",=>,{Age=Adult},0.1535666,0.9209809,0.968967
[17],"{Class=Crew,Survived=No}",=>,{Sex=Male},0.3044071,0.9955423,1.2658514
[18],"{Class=Crew,Survived=No}",=>,{Age=Adult},0.3057701,1,1.0521033
[19],"{Class=Crew,Sex=Male}",=>,{Age=Adult},0.3916402,1,1.0521033
[20],"{Class=Crew,Age=Adult}",=>,{Sex=Male},0.3916402,0.9740113,1.2384742
[21],"{Sex=Male,Survived=No}",=>,{Age=Adult},0.6038164,0.9743402,1.0251065
[22],"{Age=Adult,Survived=No}",=>,{Sex=Male},0.6038164,0.9242003,1.1751385
[23],"{Class=3rd,Sex=Male,Survived=No}",=>,{Age=Adult},0.1758292,0.9170616,0.9648435
[24],"{Class=3rd,Age=Adult,Survived=No}",=>,{Sex=Male},0.1758292,0.8130252,1.0337773
[25],"{Class=3rd,Sex=Male,Age=Adult}",=>,{Survived=No},0.1758292,0.8376623,1.2373791
[26],"{Class=Crew,Sex=Male,Survived=No}",=>,{Age=Adult},0.3044071,1,1.0521033
[27],"{Class=Crew,Age=Adult,Survived=No}",=>,{Sex=Male},0.3044071,0.9955423,1.2658514
